Hidden Layers,Activation Function,Learning Rate,Batch Size,MSE Loss,RMSE,R-Squared
[16],ReLU,0.01,16,0.41854861155152323,0.64695334,0.35953350115375027
[16],ReLU,0.01,32,0.5523118019104004,0.7431768,0.15484797100076497
[16],ReLU,0.01,64,0.4217030882835388,0.6493867,0.35470648229735735
[16],ReLU,0.01,128,0.4260850250720978,0.6597364,0.3339737257222215
[16],ReLU,0.001,16,0.4302381493151188,0.6559254,0.34164606579595214
[16],ReLU,0.001,32,0.43732704520225524,0.6613071,0.33079857259870915
[16],ReLU,0.001,64,0.5227586984634399,0.7230205,0.2000703747044592
[16],ReLU,0.001,128,0.6320186654726664,0.8012622,0.01757406672992956
[16],ReLU,0.0001,16,0.6367813736200333,0.7979858,0.025591943183932764
[16],ReLU,0.0001,32,4.971571397781372,2.229702,-6.607539136513985
[16],ReLU,0.0001,64,5.967680835723877,2.4428837,-8.13179404984988
[16],ReLU,0.0001,128,19.68397394816081,4.4274464,-28.995569605262542
[16],Tanh,0.01,16,0.6598033532500267,0.8122828,-0.009636516811921014
[16],Tanh,0.01,32,0.6546330213546753,0.80909395,-0.0017247664383377437
[16],Tanh,0.01,64,0.6592496752738952,0.8119419,-0.008789290044513232
[16],Tanh,0.01,128,0.6455641587575277,0.8107903,-0.005929611017203129
[16],Tanh,0.001,16,0.5919150277972222,0.7693601,0.09424679168890537
[16],Tanh,0.001,32,0.6577078104019165,0.8109919,-0.006429846765177993
[16],Tanh,0.001,64,0.6702306032180786,0.8186761,-0.025592323668953254
[16],Tanh,0.001,128,0.8196695446968079,0.9095775,-0.26598895424615243
[16],Tanh,0.0001,16,1.513357836008072,1.2301861,-1.3157525136546115
[16],Tanh,0.0001,32,7.725887393951416,2.779548,-10.82221590797481
[16],Tanh,0.0001,64,13.290350723266602,3.6455932,-19.33700220561797
[16],Tanh,0.0001,128,24.70242691040039,4.966782,-36.74859426350497
[16],Sigmoid,0.01,16,0.4531826876103878,0.67318845,0.3065361461959568
[16],Sigmoid,0.01,32,0.5108663350343704,0.71474916,0.21826816086417655
[16],Sigmoid,0.01,64,0.4409217596054077,0.6640194,0.3252979231391847
[16],Sigmoid,0.01,128,0.6444199283917745,0.81012005,-0.0042672673851889
[16],Sigmoid,0.001,16,0.6118679970502854,0.78221995,0.06371459583777139
[16],Sigmoid,0.001,32,0.6590973705053329,0.8118481,-0.008556157100431783
[16],Sigmoid,0.001,64,1.2050745725631713,1.0977589,-0.8440149511820019
[16],Sigmoid,0.001,128,3.9480868180592856,1.9850702,-5.029791239278281
[16],Sigmoid,0.0001,16,12.084229755401612,3.476238,-17.49138738761352
[16],Sigmoid,0.0001,32,11.803682708740235,3.4356487,-17.06209137231964
[16],Sigmoid,0.0001,64,22.95443000793457,4.791078,-34.125056326570196
[16],Sigmoid,0.0001,128,28.881927490234375,5.371718,-43.15469514690907
[32],ReLU,0.01,16,0.41437081098556516,0.6437164,0.3659264038207689
[32],ReLU,0.01,32,0.47532535791397096,0.6894384,0.27265324882654685
[32],ReLU,0.01,64,0.4397484302520752,0.6631353,0.3270933694539281
[32],ReLU,0.01,128,0.4214934706687927,0.6557404,0.34201746246450926
[32],ReLU,0.001,16,0.42299369648098945,0.65037966,0.3527315922676795
[32],ReLU,0.001,32,0.4422550439834595,0.66502255,0.3232577081818393
[32],ReLU,0.001,64,0.5151345312595368,0.71772873,0.2117369248019464
[32],ReLU,0.001,128,0.5535466472307841,0.749643,0.14007712505826242
[32],ReLU,0.0001,16,0.5441109508275985,0.7376388,0.16739699216448778
[32],ReLU,0.0001,32,0.6687962234020233,0.81779957,-0.023397466528659816
[32],ReLU,0.0001,64,2.878066301345825,1.6964865,-3.4040407398446924
[32],ReLU,0.0001,128,3.126118818918864,1.7730623,-3.810592114569973
[32],Tanh,0.01,16,0.46289488226175307,0.6803638,0.29167447255986156
[32],Tanh,0.01,32,0.4611633956432343,0.6790901,0.2943240295449131
[32],Tanh,0.01,64,0.6699475288391114,0.8185032,-0.02515918107954107
[32],Tanh,0.01,128,0.6468209425608317,0.81150407,-0.007701489750709722
[32],Tanh,0.001,16,0.4338947281241417,0.65870684,0.3360507548187166
[32],Tanh,0.001,32,0.4873399198055267,0.69809735,0.2542684904801251
[32],Tanh,0.001,64,0.6237512230873108,0.78977925,0.04553077360510316
[32],Tanh,0.001,128,0.6817910075187683,0.8332738,-0.06249289384181522
[32],Tanh,0.0001,16,0.6457787916064263,0.8036036,0.011824039846004775
[32],Tanh,0.0001,32,1.3513869404792787,1.1624917,-1.067903327759515
[32],Tanh,0.0001,64,6.6751690864562985,2.5836349,-9.214398212278892
[32],Tanh,0.0001,128,17.28910764058431,4.150675,-25.362580346322495
[32],Sigmoid,0.01,16,0.4516361951828003,0.6720388,0.3089026151361415
[32],Sigmoid,0.01,32,0.42183275818824767,0.64948654,0.35450806353285247
[32],Sigmoid,0.01,64,0.5598268449306488,0.7482158,0.14334838876557077
[32],Sigmoid,0.01,128,0.6443885366121928,0.81012356,-0.004275917324163103
[32],Sigmoid,0.001,16,0.5723451524972916,0.75653493,0.12419276065380835
[32],Sigmoid,0.001,32,0.5735104560852051,0.7573047,0.12240962072106065
[32],Sigmoid,0.001,64,0.6568064570426941,0.81043595,-0.005050590079792583
[32],Sigmoid,0.001,128,0.6908729473749796,0.8372746,-0.07271997903973593
[32],Sigmoid,0.0001,16,1.277004313468933,1.1300461,-0.9540824182744421
[32],Sigmoid,0.0001,32,8.316719961166381,2.8838725,-11.726313085654798
[32],Sigmoid,0.0001,64,12.348501586914063,3.5140433,-17.895776736881924
[32],Sigmoid,0.0001,128,24.641620635986328,4.959223,-36.63377459286815
"[32, 16]",ReLU,0.01,16,0.4153387024998665,0.6444678,0.36444532476179037
"[32, 16]",ReLU,0.01,32,0.39900214672088624,0.6316662,0.38944363941537663
"[32, 16]",ReLU,0.01,64,0.42233332991600037,0.64987177,0.3537420783455234
"[32, 16]",ReLU,0.01,128,0.43672287464141846,0.6690721,0.31499080588380635
"[32, 16]",ReLU,0.001,16,0.45800371170043946,0.6767597,0.2991590006742436
"[32, 16]",ReLU,0.001,32,0.45875605642795564,0.67731535,0.29800773422069615
"[32, 16]",ReLU,0.001,64,0.5316563308238983,0.72914773,0.18645514460143608
"[32, 16]",ReLU,0.001,128,0.4840855598449707,0.6993827,0.25151977482707477
"[32, 16]",ReLU,0.0001,16,0.5526401117444039,0.7433977,0.15434558781293628
"[32, 16]",ReLU,0.0001,32,0.585306516289711,0.7650533,0.10435919036618058
